REGION,Key,Area,CENSUS_2010_TOTAL_POPULATION,CENSUS_2010_STATE_DENSITY,CENSUS_2010_RANK,2020_STATE_DENSITY,STATE_LAND_AREA,Major_City_CBSA_Title,CBSA Code,CBSA_Major_City_Population_2010,CBSA_Major_City_max_weighted_density,CBSA_Major_City_mean_pop_density,Covid_Positive,Covid_Negative,Covid_Pending,Covid_Hospitalized,Covid_Death,Covid_Total,Last_Covid_Update,FLUVIEW_TOTAL_INFLUENZA_DEATHS_Season_2018,FLUVIEW_TOTAL_PNEUMONIA_DEATHS_Season_2018,Kaiser_Total_Hospital_Beds,Kaiser_Beds_per_1000_Population,Kaiser_Total_CHCs,Kaiser_CHC_Service_Delivery_Sites,BRFSS_Asthma_Prevalance,Fluview_US_FLU_Hospitalization_Rate_Asthma,BRFSS_Age_55_64_Asthma_Rate,BRFSS_Age_65_plus_Asthma_Rate,BRFSS_COPD_Prevalance,Fluview_US_FLU_Hospitalization_Rate_Lung_Disease,BRFSS_Age_55_64_COPD_Rate,BRFSS_Age_65_plus_COPD_Rate,BRFSS_Heart_Disease_Prevalance,Fluview_US_FLU_Hospitalization_Rate_Heart_Disease,BRFSS_Age_55_64_Heart_Disease_Rate,BRFSS_Age_65_plus_Heart_Disease_Rate,BRFSS_2017_High_Cholestoral_Prevalance,BRFSS_2017_High_Blood_Pressure_Prevalance,BRFSS_Diabetes_Prevalance,Fluview_US_FLU_Hospitalization_Rate_Metabolic_Disorders,BRFSS_Age_55_64_Diabetes_Rate,BRFSS_Age_65_plus_Diabetes_Rate,BRFSS_Obesity BMI Prevalance,Fluview_US_FLU_Hospitalization_Rate_Obesity,BRFSS_Age_55_64_Obesity_Rate,BRFSS_Age_65_plus_Obesity_Rate,BRFSS_Kidney_Disease_Prevalance,Fluview_US_FLU_Hospitalization_Rate_Kidney_Disease,BRFSS_Age_55_64_Kidney_Disease_Rate,BRFSS_Age_65_plus__Kidney_Disease_Rate,BRFSS_Other_Cancer_Prevalance,BRFSS_55_64_Other_Cancer_Rate,BRFSS_65_plus_Other_Cancer_Rate,Census_Population_Over_60,Census_Population_Over_60_Employment_Rate,Census_Total_Population_Over_16_Estimate,Census_Total_Workers_Over_16_Estimate,COMMUTE_Census_Worker_Drive_To_Work_Rate,COMMUTE_Census_Worker_Carpool_To_Work_Rate,COMMUTE_Census_Worker_Public_Transportation_Rate,COMMUTE_Census_Worker_Walk_Rate,COMMUTE_Census_Worker_Taxicab_Motorcycle_Bicycle_Other_Rate,COMMUTE_Census_Work_At_Home_Rate
Ohio,36,Midwest,11536504,282.3,12,288,40861,"Cleveland-Elyria-Mentor, OH Metro Area",17460,2077240,3808.4,2132.976923,2199,26992,NA,585,55,29191,3/31/20 14:00,284,6088,33157,2.84,47,304,0.095,0.194,0.008265,0.00874,0.085,0.295,0.010115,0.01326,0.05,0.513,0.00335,0.00685,0.334,0.347,0.122,0.448,0.022814,0.030256,0.34,0.361,0.13328,0.11118,0.029,0.216,0.000928,0.001943,0.072,0.007128,0.012312,2792679,0.28,9237632,5515839,0.82,0.08,0.02,0.02,0.01,0.04
Oklahoma,37,South,3751351,54.7,37,58,68595,"Oklahoma City, OK Metro Area",36420,1252987,2568.8,2126.433333,565,1229,NA,177,23,1794,3/31/20 8:00,135,3256,11144,2.83,20,99,0.103,0.194,0.010712,0.008961,0.085,0.295,0.012155,0.01258,0.058,0.513,0.00493,0.008758,0.37,0.377,0.125,0.448,0.026125,0.032,0.348,0.361,0.13746,0.102312,0.029,0.216,0.001218,0.001943,0.072,0.007128,0.012456,857599,0.28,3008712,1758388,0.83,0.1,0,0.02,0.01,0.04
Oregon,38,West,3831074,39.9,41,45,95988,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",38900,2226009,4372.6,2644.166667,690,13136,NA,154,18,13826,3/31/20 11:00,200,1645,6889,1.65,30,232,0.116,0.194,0.01276,0.011368,0.069,0.295,0.005589,0.009108,0.05,0.513,0.0027,0.0062,0.321,0.301,0.11,0.448,0.01925,0.02068,0.299,0.361,0.107042,0.083421,0.029,0.216,0.001189,0.001769,0.079,0.008374,0.013746,1016180,0.25,3379241,1992019,0.72,0.1,0.04,0.04,0.03,0.08
Pennsylvania,39,Northeast,12702379,283.9,11,287,44743,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",37980,5965343,7773.2,3170.7,4843,37645,NA,514,63,42488,3/31/20 12:00,361,7044,36730,2.87,43,306,0.1,0.194,0.0115,0.0088,0.071,0.295,0.00781,0.009727,0.049,0.513,0.002744,0.006272,0.33,0.326,0.113,0.448,0.018419,0.024182,0.309,0.361,0.107223,0.087447,0.032,0.216,0.001376,0.00192,0.073,0.00657,0.012702,3227151,0.29,10271420,6129917,0.76,0.09,0.06,0.04,0.02,0.05
Rhode Island,40,Northeast,1052567,1018.1,4,1021,1034,"Providence-New Bedford-Fall River, RI-MA Metro Area",39300,1600852,4763.7,4763.7,488,3476,NA,59,8,3964,3/31/20 0:00,46,622,2187,2.07,8,52,0.119,0.194,0.014399,0.013447,0.069,0.295,0.007245,0.008832,0.039,0.513,0.00195,0.00429,0.33,0.331,0.109,0.448,0.019838,0.024198,0.277,0.361,0.091687,0.073682,0.024,0.216,0.000552,0.001392,0.073,0.005986,0.013797,257992,0.31,865601,515707,0.82,0.08,0.02,0.03,0.01,0.04
South Carolina,41,South,4625364,153.9,22,173,30061,"Charleston-North Charleston-Summerville, SC Metro Area",16700,664607,1926,1038.055556,1083,4616,NA,259,22,5699,3/31/20 16:31,138,2885,12120,2.38,23,200,0.091,0.194,0.009828,0.006916,0.082,0.295,0.010496,0.01148,0.049,0.513,0.003479,0.005782,0.367,0.381,0.133,0.448,0.027664,0.034048,0.343,0.361,0.125881,0.108045,0.032,0.216,0.001504,0.001952,0.076,0.007372,0.013452,1228275,0.25,4012850,2268973,0.82,0.1,0.01,0.01,0.02,0.05
South Dakota,42,Midwest,814180,10.7,48,12,75811,"Sioux Falls, SD Metro Area",43620,228261,2215,1692.9,108,3609,0,12,1,3717,3/31/20 12:30,39,627,4183,4.76,4,48,0.079,0.194,0.006241,0.00553,0.046,0.295,0.003358,0.004738,0.044,0.513,0.002464,0.005544,0.295,0.308,0.093,0.448,0.010416,0.019158,0.301,0.361,0.100534,0.095718,0.027,0.216,0.000891,0.001647,0.079,0.007189,0.017222,205307,0.35,673526,445146,0.81,0.09,0,0.03,0.01,0.06
Tennessee,43,South,6346105,153.9,21,167,41235,"Memphis, TN-MS-AR Metro Area",32820,1316100,2372.3,1151.14,2239,25121,NA,175,23,27360,3/31/20 15:00,165,4521,19387,2.86,29,207,0.098,0.194,0.012838,0.009604,0.106,0.295,0.019504,0.01749,0.057,0.513,0.0057,0.007353,0.365,0.387,0.138,0.448,0.031188,0.038778,0.344,0.361,0.134848,0.105608,0.039,0.216,0.002457,0.002964,0.076,0.007676,0.013224,1550510,0.27,5330967,3076837,0.83,0.09,0.01,0.01,0.01,0.05
Texas,44,South,25145561,96.3,28,113,261232,"Laredo, TX Metro Area",29700,250304,5300.1,2485.108,3266,39726,NA,196,41,42992,3/31/20 13:45,448,12967,65671,2.29,72,537,0.074,0.194,0.00555,0.005698,0.062,0.295,0.004216,0.009362,0.038,0.513,0.002736,0.003572,0.33,0.325,0.126,0.448,0.02772,0.03717,0.348,0.361,0.131196,0.122844,0.037,0.216,0.001554,0.0037,0.051,0.003417,0.007497,5139025,0.3,21663694,13256665,0.81,0.1,0.01,0.01,0.02,0.05
Utah,45,West,2763885,33.6,43,40,82170,"Salt Lake City, UT Metro Area",41620,1124197,4563.5,2945.22,887,17626,NA,73,5,18513,3/31/20 15:00,63,1022,5767,1.83,13,60,0.093,0.194,0.009672,0.009021,0.042,0.295,0.002352,0.003738,0.024,0.513,0.000888,0.00204,0.286,0.245,0.084,0.448,0.013356,0.017556,0.278,0.361,0.091184,0.081176,0.026,0.216,0.000988,0.001638,0.061,0.0061,0.011285,499149,0.3,2305534,1510473,0.76,0.11,0.02,0.02,0.02,0.07
